Material,SiO2,TiO2,Al2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2OM,H2OP,SO2,SO3,V2O3,V2O5,ZnO,Fe,Ni,Co,S
WR,48.58,1.27,18.15,1.41,,6.7,,,0.11,7.15,12.2,,2.76,0.09,0.11,,,,0.8,0.06,,,,,,,,,
WR,49,1.35,17.51,2.69,,5.97,8.39,,0.13,6.97,11.54,,2.76,0.11,0.11,,,1.63,,,,,,,,,,,0.12
WR,49.7,1.34,18.25,,9.4,,,,0.14,7.3,12.1,,2.72,0.09,0.14,,1.9,,,,,,,,,,98,37,
WR,48.2,1.36,17.34,3.84,,6.01,,,0.11,7.09,11.71,,2.82,0.15,0.11,,,,0.47,0.41,,,,,,,,,
WR,50.2,1.39,17.97,,9.73,5.78,,,0.14,6.8,12.01,,2.94,0.1,0.14,,2.1,,,,,,,,,,93,36,
WR,48.24,1.36,17.68,3.3,,6.67,,,0.11,7.34,11.43,,2.98,0.2,0.11,,,,0.3,0.64,,,,,,,,,
WR,49.9,1.37,17.72,,9.91,,,,0.15,7.3,12.15,,2.82,0.11,0.14,,1.2,,,,,,,,,,106,37,
WR,49.5,1.35,17.65,1.4,,7.25,8.51,,0.14,7.07,11.58,,2.71,0.11,0.12,,,1.71,,,,,,,,,83,,0.11
WR,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
WR,49.17,1.36,17.58,3.64,,5.61,,,0.11,7.34,11.81,,2.82,0.16,0.1,,,,0.44,0.47,,,,,,,,,
WR,48.3,1.3,18.01,2.34,,5.96,8.07,,0.15,6.82,11.51,,2.87,0.08,0.09,,,1.65,,,,,,,,,,,0.08
WR,49.1,1.16,19.17,,8.49,7,,,0.13,7,12.16,,2.72,0.07,0.14,,1.4,,,,,,,,,,104,37,
WR,47.98,1.19,18.29,3.5,,5.91,,,0.14,7.57,11.84,,2.76,0.16,0.09,,,,0.4,0.65,,,,,,,,,
WR,48.9,1.14,19.16,1.47,,6.19,7.51,,0.13,6.96,11.83,,2.75,0.07,0.09,,,1.63,,,,,,,,,70,,0.09
WR,50.3,1.4,17.74,,9.61,,,,,6.7,12.01,,2.87,0.18,,,2,,,,,,,,,,104,37,
WR,48.57,1.23,17.49,3.71,,4.71,,,0.16,6.46,12.25,,3.22,0.23,0.14,,,,0.81,0.65,,,,,,,,,
WR,48.8,1.05,17.84,,8.94,,,,0.14,7.5,12.67,,2.32,0.12,0.12,,0.7,,,,,,,,,,134,38,
WR,48.15,1.18,18.11,4.63,,5.01,,,0.14,6.97,12.94,,2.4,0.27,0.1,,,,0.3,0.09,,,,,,,,,
WR,49.5,1.07,17.36,,8.67,,,,0.14,7.8,12.57,,2.42,0.12,0.12,,0.5,,,,,,,,,,156,39,
WR,47.7,1.1,17.84,5.13,,5.05,,,0.15,7.24,12.76,,2.48,0.2,0.15,,,,0.28,0.48,,,,,,,,,
GL,51.73,1.41,14.92,,,,9.74,,,7.57,12.2,,2.46,0.09,0.18,,,,,,,,,,,,,,
WR,48.27,1.1,16.61,4.26,,5.08,,,0.15,7.53,12.92,,2.52,0.21,0.09,,,,0.44,0.48,,,,,,,,,
GL,51.03,1.38,14.49,,,,9.06,,0.16,7.63,11.96,,2.51,0.11,,,,,,,,,,,,,,,
WR,48.9,1.09,18.05,3.7,,4.78,8.11,,0.15,6.66,12.83,,2.5,0.12,0.09,,,1.19,,,,,,,,,,,0.01
WR,49.9,1.04,17.84,,8.49,4.51,,,,7.2,12.82,,2.34,0.12,,,2,,,,,,,,,,144,38,
GL,51.18,1.39,14.81,,,,9.5,,,7.4,12.3,,2.48,0.12,0.13,,,,,,,,,,,,,,
WR,48.75,1.19,17.27,2.84,,5.75,,,0.14,7.61,12.65,,2.57,0.17,0.1,,,,0.24,0.32,,,,,,,,,
WR,49.4,1.05,17.57,,8.58,,,,0.14,7.3,12.68,,2.42,0.11,0.11,,1.7,,,,,,,,,,136,40,
WR,49.1,1.08,16.85,3.42,,4.8,7.88,,0.13,7.61,12.19,,2.31,0.13,0.08,,,1.94,,,,,,,,,110,,0.01
WR,49.6,1.07,17.71,,9.2,,,,0.15,8,12.85,,2.42,0.16,0.11,,0.4,,,,,,,,,,141,39,
WR,48.42,0.88,18.18,3.83,,4.65,,,0.14,7.4,12.89,,2.56,0.19,0.09,,,,0.64,0.46,,,,,,,,,
GL,51.94,1.4,15.11,,,,10.11,,,7.53,12.4,,2.44,0.08,0.15,,,,,,,,,,,,,,
WR,49.8,1.03,17.73,2.58,,5.23,7.55,,0.14,7.53,12.49,,2.39,0.15,0.1,,,1.68,,,,,,,,,130,,0.03
WR,49.6,1.02,17.8,,8.73,,,,0.13,8,12.91,,2.34,0.1,0.11,,1.9,,,,,,,,,,152,39,
WR,48.47,1.02,17.43,3.12,,4.93,,,0.11,7.95,12.78,,2.47,0.16,0.09,,,,0.78,0.3,,,,,,,,,
WR,48.58,1.1,17.2,4.49,,5,,,0.14,7.46,12.67,,2.57,0.16,0.09,,,,0.56,0.23,,,,,,,,,
WR,50.1,1.13,16.25,,9.32,5.65,,,0.15,8.4,12.39,,2.42,0.08,0.09,,1.6,,,,,,,,,,137,40,
WR,49.2,1.12,18.51,3.76,,4.24,7.62,,0.14,6.51,12.59,,2.75,0.15,0.12,,,1.01,,,,,,,,,,,0.01
WR,49.4,1.12,17.54,,9.24,,,,0.15,7.6,12.39,,2.62,0.25,0.11,,0.9,,,,,,,,,,129,38,
WR,50.1,1.11,17.65,,8.51,,,,0.14,8.4,12.39,,2.54,0.16,0.11,,0.7,,,,,,,,,,147,40,
WR,49.1,1.07,17.33,,8.24,,,,0.14,8.5,12.26,,2.39,0.11,0.12,,0.6,,,,,,,,,,149,40,
GL,51.44,1.48,14.86,,,,9.8,,,7.29,11.84,,2.71,0.1,0.14,,,,,,,,,,,,,,
WR,47.96,1.27,17.67,4.64,,5.52,,,0.17,7.06,12.49,,2.89,0.15,0.15,,,,0.3,0.23,,,,,,,,,
WR,49.7,1.12,17.76,,8.69,,,,0.14,7.8,12.5,,2.59,0.1,0.11,,0.9,,,,,,,,,,136,37,
WR,48.25,1.1,16.85,3.39,,5.34,,,0.17,8.28,12.58,,2.76,0.27,0.12,,,,0.38,0.38,,,,,,,,,
WR,49.1,1.15,17.26,2.8,,5.11,7.63,,0.15,7.9,12.17,,2.65,0.13,0.09,,,0.88,,,,,,,,,,,0
WR,,,,,,,,,,,,,,,,,,,,,,,,,,,180,92.7,
WR,49.21,1.19,16.31,3.48,,6.29,,,0.14,8.16,12.09,,2.7,0.13,0.09,,,,0.42,0.28,,,,,,,,,
WR,49.3,1.14,17.1,2.58,,5.28,7.6,,0.14,7.67,11.99,,2.62,0.14,0.11,,,1.54,,,,,,,,,150,,0.01
WR,48.95,1.03,16.38,4.29,,4.6,,,0.15,8.06,12.27,,2.7,0.17,0.11,,,,0.86,0.45,,,,,,,,,
WR,47.33,1.1,16.86,5,,4.73,,,0.13,8.16,12.13,,2.61,0.17,0.08,,,,0.68,0.37,,,,,,,,,
WR,49.6,1.13,17.2,,8.76,,,,0.14,7.9,12.21,,2.42,0.06,0.11,,1.7,,,,,,,,,,127,41,
WR,47.89,1.12,16.58,3.35,,4.81,,,0.31,7.94,13.31,,2.7,0.17,0.09,,,,0.39,0.45,,,,,,,,,
WR,49.36,1.07,16.92,1.51,,6.65,,,0.15,8.23,12.18,,2.6,0.15,0.1,,,,0.29,0.16,,,,,,,,,
GL,51.69,1.52,14.63,,,,9.57,,,7.03,11.93,,2.79,0.1,0.14,,,,,,,,,,,,,,
GL,51.07,1.47,14.34,,,,9.98,,0.17,7.28,11.58,,2.83,0.12,,,,,,,,,,,,,,,
WR,48.9,1.25,18.85,3.41,,4.85,7.92,,0.17,5.87,12.27,,2.84,0.16,0.13,,,1.26,,,,,,,,,,,0.02
GL,51.36,1.55,14.74,,,,9.77,,,7.3,11.77,,2.76,0.12,0.13,,,,,,,,,,,,,,
GL,51.75,1.51,14.88,,,,9.47,,,6.86,11.9,,2.86,0.1,0.16,,,,,,,,,,,,,,
WR,48.39,1.05,15.67,2.9,,5.28,,,0.14,8.06,12.88,,2.82,0.29,0.11,,,,0.79,0.66,,,,,,,,,
WR,49.6,1.13,16.9,,8.84,,,,0.14,8.3,12.11,,2.57,0.06,0.1,,1.6,,,,,,,,,,129,40,
WR,48.72,1.06,15.97,3.34,,5.3,,,0.23,8.25,12.28,,2.82,0.27,0.1,,,,0.8,0.61,,,,,,,,,
WR,49.6,1.14,17.13,1.94,,6.03,7.78,,0.15,8.03,12.08,,2.64,0.15,0.1,,,0.71,,,,,,,,,130,,0.02
WR,49.39,1.1,17.19,2.02,,6.25,,,0.16,7.79,12.34,,2.82,0.21,0.11,,,,0.24,0.15,,,,,,,,,
GL,51.22,1.53,14.73,,,,9.44,,,6.96,11.98,,2.86,0.11,0.14,,,,,,,,,,,,,,
WR,48.26,1.27,18.77,3.66,,5.5,7.73,,0.18,6.88,11.9,,1.83,0.29,0.12,,,0.97,0.41,0.25,,,,,,,,,0.02
GL,50.65,1.58,14.75,,,,9.88,,0.2,7.24,11.5,,3.07,0.12,,,,,,,,,,,,,,,
WR,49.6,1.19,18.61,,8.56,,,,0.15,6.6,12.27,,2.74,0.15,0.12,,1.4,,,,,,,,,,148,38,
WR,49.1,1.25,18.13,,8.71,5.11,,,0.14,7.2,12.26,,2.62,0.21,0.14,,1.2,,,,,,,,,,140,38.1,
WR,49.8,1.14,17.07,2.65,,5.73,8.11,,0.15,8,12.04,,2.59,0.13,0.1,,,0.83,,,,,,,,,,,0.02
WR,49.3,1.15,17.69,,8.8,,,,0.13,8.3,11.92,,2.62,0.09,0.1,,1.7,,,,,,,,,,142,38,
WR,47.57,1.1,17.62,4.55,,5.09,,,0.14,7.9,11.86,,2.7,0.16,0.09,,,,0.76,0.31,,,,,,,,,
GL,50.63,1.62,15.22,,,,9.63,,,6.91,11.6,,3.08,0.12,0.14,,,,,,,,,,,,,,
WR,49.7,1.17,18.59,,8.67,4.06,,,0.13,6.8,12.33,,2.77,0.17,0.12,,2.5,,,,,,,,,,140,38,
WR,47.89,1.14,19.28,4.11,8.69,4.53,,,0.16,4.88,12.97,,2.99,0.21,0.16,,2.4,,0.54,0.86,,,,,,,144,37,
WR,49.8,1.1,18.62,3.28,,4.49,7.44,,0.12,6.69,12.17,,2.89,0.18,0.08,,,1.77,,,,,,,,,140,,0.01
WR,49,1.09,18.25,,8.09,,,,0.15,5.9,15.64,,2.62,0.36,0.11,,3.1,,,,,,,,,,165,35,
WR,48.47,1.15,17.67,3.24,,5.18,,,0.13,6.68,12.5,,2.82,0.28,0.11,,,,0.69,0.6,,,,,,,,,
WR,49.2,1.09,18.94,,8.3,,,,0.15,7.1,12.38,,2.69,0.12,0.1,,1.9,,,,,,,,,,121,36,
WR,48.9,1.14,17.55,4.08,,4,7.67,,0.14,7.11,11.85,,2.73,0.18,0.11,,,1.86,,,,,,,,,,,0.01
WR,50,1.13,18.44,,8.89,,,,0.14,7.3,12.53,,2.74,0.17,0.09,,2.1,,,,,,,,,,135,37,
WR,49.7,1.7,15.29,,11.07,,,,0.18,7.7,11.33,,2.72,0.24,0.17,,1.7,,,,,,,,,,114,43,
WR,49.5,1.69,15.32,2.98,,7.24,9.92,,0.19,7.61,11.21,,2.8,0.22,0.17,,,1.33,,,,,,,,,110,,0.09
WR,49.3,1.67,15.01,4.5,,5.66,9.71,,0.16,7.45,10.95,,2.88,0.32,0.13,,,1.95,,,,,,,,,,,0.03
WR,49.8,1.71,15.14,,11.13,7.33,,,0.18,7.7,11.29,,2.74,0.18,0.17,,1.1,,,,,,,,,,123,43,
GL,50.97,1.72,15.28,,,,9.77,,,7.54,11.18,,2.88,0.15,0.14,,,,,,,,,,,,,,
GL,51.25,1.7,15.59,,,,9.61,,,7.06,11.15,,2.97,0.14,0.16,,,,,,,,,,,,,,
WR,48.9,1.67,15.13,4.1,,5.8,9.49,,0.19,7.48,11.09,,2.93,0.26,0.14,,,2.28,,,,,,,,,,,0.02
WR,48.71,1.61,15.34,3.94,,6.12,,,0.17,7.18,11.38,,3.05,0.29,0.17,,,,0.93,0.9,,,,,,,,,
WR,49.9,1.7,15.06,,10.9,,,,0.17,7.5,11.24,,2.72,0.29,0.16,,1.9,,,,,,,,,,122,45,
WR,48.6,1.65,14.61,4.15,,5.83,9.56,,0.17,7.4,10.83,,2.89,0.22,0.14,,,2,,,,,,,,,,,0.004
WR,49.9,1.72,15.33,,10.98,,,,0.18,7.6,11.39,,2.72,0.28,0.17,,1.9,,,,,,,,,,128,41,
WR,49.7,1.7,15.3,2.9,,7.28,9.89,,0.17,7.28,11.14,,2.82,0.22,0.15,,,1.11,,,,,,,,,100,,0.08
WR,49.7,1.74,15.07,,11.17,,,,0.19,7.5,11.25,,2.65,0.27,0.18,,1.3,,,,,,,,,,121,43,
GL,51.16,1.7,15.37,,,,10.1,,,7.68,11.35,,2.83,0.13,0.17,,,,,,,,,,,,,,
WR,49.7,1.75,15.19,,11.42,,,,0.19,7.4,11.23,,2.69,0.16,0.17,,0.8,,,,,,,,,,115,44,
WR,49.8,1.76,15.09,,11.45,7.41,,,0.19,7.3,11.27,,2.62,0.18,0.17,,1.1,,,,,,,,,,116,43.7,
WR,49.3,1.75,15.1,3.9,,6.29,9.8,,0.19,7.21,11.1,,2.9,0.31,0.17,,,1.26,,,,,,,,,,,0.02
WR,49.8,1.67,15.81,,11.05,,,,0.18,7.2,11.52,,2.65,0.21,0.16,,1.2,,,,,,,,,,119,42,
WR,48.42,1.69,16.02,4.03,,6.33,,,0.17,6.28,11.59,,3.28,0.36,0.19,,,,0.73,0.81,,,,,,,,,
WR,49.4,1.71,15.09,,11.16,,,,0.19,7.9,11.23,,2.77,0.25,0.17,,1.5,,,,,,,,,,120,42,
WR,49.5,1.74,15.13,3.14,,7.24,10.07,,0.19,7.29,11.19,,2.84,0.18,0.17,,,1.3,,,,,,,,,40,,0.09
WR,49.6,1.72,15.08,,11.14,,,,0.18,8.1,11.32,,2.72,0.17,0.18,,1.2,,,,,,,,,,252,45,
WR,49.01,1.65,15.03,3.05,,7.5,,,0.17,7.16,11.33,,2.93,0.23,0.2,,,,0.48,0.66,,,,,,,,,
WR,48.8,1.72,15.07,3.97,,6.38,9.95,,0.16,7.67,11.02,,2.85,0.22,0.16,,,1.76,,,,,,,,,,,0.05
GL,51.38,1.8,15.42,,,,9.77,,,6.82,11.25,,2.94,0.16,0.19,,,,,,,,,,,,,,
WR,49.8,1.72,15.08,,11.34,,,,0.19,7.5,11.33,,2.59,0.23,0.17,,1.3,,,,,,,,,,116,41,
GL,51.23,1.68,15.54,,,,9.87,,,7.5,11.16,,2.89,0.12,0.21,,,,,,,,,,,,,,
WR,48.78,1.53,14.9,4.63,,6.42,,,0.17,8.08,11.07,,2.96,0.31,0.17,,,,0.74,0.55,,,,,,,,,
WR,48.8,1.7,14.93,3.52,,6.67,9.84,,0.18,7.69,10.87,,2.88,0.26,0.15,,,1.77,,,,,,,,,,,0.07
WR,49.8,1.74,15.03,,11.61,,,,0.19,7.3,11.47,,2.72,0.18,0.2,,1,,,,,,,,,,118,42,
GL,50.52,1.75,15.75,,,,10.07,,,6.94,11.19,,2.93,0.12,0.16,,,,,,,,,,,,,,
WR,50.3,1.73,15.22,2.94,,7.37,10.02,,0.19,7.34,11.1,,2.76,0.19,0.16,,,1.38,,,,,,,,,,,0.11
WR,49.6,1.72,15.11,,11.28,,,,0.18,7.9,11.22,,2.69,0.18,0.17,,1.3,,,,,,,,,,119,40,
WR,48.18,1.65,15.06,4.9,,5.57,,,0.17,7.26,11.23,,2.99,0.29,0.17,,,,1.08,1.1,,,,,,,,,
GL,50.46,1.74,15.58,,,,9.88,,,7.02,11.29,,2.89,0.11,0.17,,,,,,,,,,,,,,
GL,50.39,1.73,15.4,,,,9.83,,,7.46,10.99,,2.9,0.11,0.15,,,,,,,,,,,,,,
WR,49.6,1.72,14.9,,11.11,,,,,7.7,11.11,,,0.14,,,0.7,,,,,,,,,,111,41,
WR,48.37,1.65,14.82,5.29,,5.51,,,0.17,7.35,11.22,,2.99,0.29,0.17,,,,1.12,1.12,,,,,,,,,
WR,49.3,1.73,14.88,,11.13,6.21,,,0.17,8,11.18,,2.72,0.17,0.17,,1.6,,,,,,,,,,116,44,
WR,48.56,1.65,15.06,4.57,,5.85,,,0.16,7.18,11.36,,2.76,0.24,0.18,,,,1.11,0.97,,,,,,,,,
WR,49.9,1.74,14.88,,11.13,,,,0.18,7.8,11.18,,2.72,0.17,0.16,,1.9,,,,,,,,,,102,43,
WR,48.84,1.65,15.17,4.38,,6.02,,,0.17,7.17,10.98,,2.99,0.25,0.19,,,,0.94,0.98,,,,,,,,,
WR,48.39,1.67,15.21,3.63,,6.82,,,0.15,7.25,10.82,,2.93,0.33,0.19,,,,1.02,1.21,,,,,,,,,
GL,50.44,1.73,14.93,,,,9.9,,0.21,7.51,10.79,,2.93,0.15,,,,,,,,,,,,,,,
WR,49.4,1.75,14.99,3.21,,7.12,10.01,,0.18,7.82,10.82,,2.8,0.19,0.18,,,1.44,,,,,,,,,120,,0.07
WR,48.8,1.57,14.93,2.32,,8.02,10.11,,0.19,8.62,10.55,,2.8,0.15,0.15,,,1.5,,,,,,,,,170,,0.09
WR,49.2,1.59,15.14,,11.2,,,,0.18,8.1,11.09,,2.62,0.22,0.15,,2.3,,,,,,,,,,163,47,
GL,50.22,1.62,15.64,,,,10.11,,,8.07,11.05,,2.84,0.11,0.14,,,,,,,,,,,,,,
WR,46.94,1.45,14.48,3.18,,7.31,,,0.17,8.18,9.18,,3.36,0.66,0.14,,,,2.65,2.41,,,,,,,,,
GL,49.77,1.6,15.57,,,,10.27,,,8.31,11.01,,2.87,0.11,0.15,,,,,,,,,,,,,,
WR,50.5,1.58,14.47,,10.86,,,,0.18,8.2,10.5,,2.65,0.1,0.12,,0.5,,,,,,,,,,169,45,
GL,49.72,1.62,15.88,,,,9.98,,,7.84,11.1,,2.87,0.12,0.16,,,,,,,,,,,,,,
GL,50.45,1.64,15.69,,,,10.25,,,8.19,11.08,,2.91,0.12,0.15,,,,,,,,,,,,,,
GL,49.58,1.55,15.47,,,,10.09,,,8.08,10.82,,2.84,0.11,0.15,,,,,,,,,,,,,,
WR,48.3,1.58,14.93,2.69,,7.65,10.07,,0.16,8.45,10.71,,2.83,0.13,0.13,,,1.84,,,,,,,,,,,0.05
GL,50.2,1.6,15.35,,,,10.33,,,8.06,11.04,,2.87,0.12,0.14,,,,,,,,,,,,,,
WR,47.48,1.49,14.56,4.65,,6.95,,,0.17,8.1,11.29,,2.9,0.38,0.15,,,,1.11,0.87,,,,,,,,,
WR,49,1.59,15.24,,11.25,6.26,,,0.18,8.1,11.18,,2.65,0.3,0.15,,2.9,,,,,,,,,,177,46,
WR,48.4,1.59,15.12,3.21,,6.94,9.83,,0.19,8.01,10.77,,2.85,0.14,0.12,,,1.95,,,,,,,,,,,0.07
GL,50.14,1.6,15.65,,,,10.33,,,7.69,11.09,,2.79,0.12,0.15,,,,,,,,,,,,,,
WR,47.2,1.55,15.09,5.02,,5.36,9.88,,0.18,8.4,10.6,,2.77,0.16,0.13,,,2.17,,,,,,,,,,,0.01
GL,50.28,1.58,15.52,,,,10.28,,,8.25,11.14,,2.78,0.12,0.12,,,,,,,,,,,,,,
WR,48.8,1.59,15.15,,11.39,,,,0.2,8.4,11.12,,2.57,0.17,0.14,,1.9,,,,,,,,,,174,48,
WR,49.2,1.21,16.05,3.81,,4.92,8.35,,0.15,7.84,11.71,,2.72,0.16,0.1,,,1.66,,,,,,,,,110,,0.01
WR,49.5,1.14,16.96,,8.97,,,,0.14,8.3,11.93,,2.44,0.07,0.1,,1.8,,,,,,,,,,137,39,
WR,48.94,1.02,17.11,2.56,,5.64,,,0.13,7.5,12.65,,2.77,0.14,0.1,,,,0.68,0.67,,,,,,,,,
WR,48.6,1.06,15.83,2.01,,5.66,,,0.14,8.6,12.33,,2.65,0.14,0.11,,,,0.44,1.73,,,,,,,,,
WR,49.3,1.09,17.15,2.1,,5.93,7.82,,0.16,7.93,11.63,,2.7,0.08,0.08,,,1.75,,,,,,,,,,,0.11
WR,48.6,1.59,15.06,,11.15,6.11,,,0.18,8.5,11.09,,2.92,0.22,0.15,,1.9,,,,,,,,,,183,48,
WR,49.6,1.18,16.3,,9.05,4.93,,,0.15,8.1,11.98,,2.44,0.12,0.11,,1.8,,,,,,,,,,133,38,
WR,49.6,1.12,16.47,2.68,,5.56,7.97,,0.17,8.18,11.59,,2.54,0.09,0.09,,,1.78,,,,,,,,,,,0.05
WR,49.5,1.08,17.44,,8.59,,,,0.15,8.5,12.16,,2.42,0.07,0.09,,1.8,,,,,,,,,,129,38,
WR,47.86,0.87,17.35,3.94,,3.76,,,0.13,7.23,13.14,,2.6,0.2,0.08,,,,1.08,1.26,,,,,,,,,
WR,48.5,1.06,17.19,3.92,,4.16,7.69,,0.15,7.56,11.77,,2.64,0.12,0.09,,,2.75,,,,,,,,,140,,0
WR,49.1,1.06,17.21,3.27,,4.71,7.65,,0.16,7.31,12.45,,4.21,0.1,0.08,,,1.31,,,,,,,,,,,0.02
WR,48.35,1.02,16.88,3.21,,5.15,,,0.15,8.27,12.39,,2.6,0.18,0.11,,,,0.58,1.05,,,,,,,,,
WR,49.3,1.1,16.91,,8.85,,,,0.14,8.5,12.06,,2.44,0.11,0.09,,2,,,,,,,,,,144,39,
GL,49.66,1.62,15.34,,,,10.15,,,7.91,11,,2.85,0.11,0.14,,,,,,,,,,,,,,
WR,49.2,1.63,15.27,,11.6,4.96,,,0.2,8.6,10.87,,2.49,0.25,0.16,,4.9,,,,,,,,,,180,47,
WR,47.26,1.49,14.87,4.59,,5.87,,,0.17,8.26,11.39,,2.9,0.25,0.15,,,,1.52,1.07,,,,,,,,,
WR,47.1,1.59,15,5.07,,5.49,10.05,,0.19,7.72,10.67,,2.96,0.15,0.13,,,3.08,,,,,,,,,,,0
WR,48.8,1.56,15.07,3.9,,6.36,9.87,,0.17,8.15,10.77,,2.76,0.17,0.13,,,2.03,,,,,,,,,,,0.08
WR,47.39,1.53,15.18,4.23,,6.99,,,0.2,7.72,11.65,,2.9,0.31,0.16,,,,0.92,0.42,,,,,,,,,
WR,48.7,1.63,15.12,,11.45,,,,0.2,8.2,11.23,,2.72,0.23,0.15,,2.1,,,,,,,,,,170,47,
WR,48.1,1.61,15.02,3.84,,6.63,10.09,,0.18,8.32,10.77,,2.77,0.12,0.14,,,2.28,,,,,,,,,140,,0.05
GL,50.19,1.7,15.51,,,,10.19,,,8.07,10.87,,2.89,0.11,0.16,,,,,,,,,,,,,,
WR,49.1,1.64,15.24,,11.65,5.95,,,0.2,8.3,11.17,,2.69,0.2,0.15,,2.6,,,,,,,,,,171,46.9,
WR,47.7,1.59,14.76,4.71,,5.87,10.11,,0.21,7.99,10.67,,2.96,0.18,0.14,,,2.62,,,,,,,,,,,0
GL,50.39,1.68,15.82,,,,10.22,,,7.38,11.24,,2.92,0.12,0.14,,,,,,,,,,,,,,
WR,47.72,1.53,16.11,4.93,,5.63,,,0.17,6.14,11.67,,2.9,0.29,0.16,,,,1.42,0.96,,,,,,,,,
WR,49.9,1.69,15.1,,10.56,5.08,,,0.17,7.3,11.4,,2.72,0.29,0.15,,2.6,,,,,,,,,,131,44,
GL,50.32,1.62,15.54,,,,10.42,,,7.96,10.81,,2.83,0.1,0.19,,,,,,,,,,,,,,
WR,46.71,1.49,15.01,2.54,,8.04,,,0.18,8.18,10.79,,3.03,0.4,0.15,,,,2.06,1.28,,,,,,,,,
WR,48.2,1.57,14.87,2.48,,7.86,10.09,,0.18,8.57,10.85,,2.69,0.22,0.15,,,1.96,,,,,,,,,140,,0.08
WR,49.3,1.5,16.25,,9.96,5.36,,,0.16,7,11.57,,2.62,0.31,0.15,,2,,,,,,,,,,114,40,
WR,48.88,1.45,17.1,3.06,,6.31,,,0.16,6.24,12.04,,2.9,0.32,0.15,,,,0.74,0.5,,,,,,,,,
GL,50.5,1.65,15.7,,,,9.28,,,6.99,11.18,,2.99,0.13,0.15,,,,,,,,,,,,,,
GL,50.56,1.6,15.36,,,,9.49,,,7.31,11.32,,2.87,0.12,0.14,,,,,,,,,,,,,,
GL,50.91,1.67,15.61,,,,9.42,,,7.14,11.27,,2.95,0.12,0.15,,,,,,,,,,,,,,
GL,50.51,1.55,15.27,,,,9.7,,,7.45,11.83,,2.66,0.12,0.14,,,,,,,,,,,,,,
GL,51.68,1.69,15.57,,,,9.78,,,7.42,11.41,,2.9,0.12,0.19,,,,,,,,,,,,,,
GL,50.79,1.65,15.62,,,,9.69,,,7.22,11.36,,2.94,0.14,0.18,,,,,,,,,,,,,,
GL,49.5,1.65,15.26,,,,9.51,,0.18,7.43,11.09,,2.58,0.13,0.15,,,,,,,,,,,,,,1232
GL,50.23,1.34,15.64,,,,9.06,,0.18,7.94,11.32,,2.83,0.13,,,,,,,,,,,,,,,
WR,49.3,1.27,16.95,1.39,,7.15,8.4,,0.17,7.48,11.8,,2.66,0.2,0.09,,,1.49,,,,,,,,,,,0.05
GL,51.02,1.35,16.06,,,,8.73,,,8.12,11.53,,2.75,0.12,0.12,,,,,,,,,,,,,,
GL,50.59,1.43,16.05,,,,8.79,,,7.8,11.67,,2.87,0.12,0.14,,,,,,,,,,,,,,
WR,47.7,1.36,17.1,5.63,,3.66,,,0.16,4.98,13.01,,3.1,0.31,0.15,,,,1.59,0.95,,,,,,,,,
WR,47.84,1.15,16.95,3.93,,4.74,,,0.15,8.07,11.93,,2.77,0.26,0.12,,,,1.28,0.51,,,,,,,,,
WR,49.5,1.24,16.75,,9.17,4.36,,,0.15,8.5,11.88,,2.59,0.21,0.12,,3.1,,,,,,,,,,171,41,
GL,50.72,1.37,16.22,,,,8.87,,,8.09,11.49,,2.74,0.11,0.14,,,,,,,,,,,,,,
GL,50.27,1.36,15.82,,,,8.78,,0.18,8.26,11.44,,2.61,0.1,0.12,,,,,,,,,,,,,,1159
GL,50.39,1.65,15.15,,,,9.63,,0.19,7.5,11.16,,2.67,0.12,0.17,,,,,,,,,,,,,,1281
GL,50.08,1.36,15.85,,,,8.73,,0.17,8.29,11.5,,2.56,0.11,0.12,,,,,,,,,,,,,,1066
GL,50.99,1.35,16.06,,,,8.75,,0.17,8.22,11.54,,2.52,0.12,0.14,,,,,,,,,,,,,,1118
WR,48.79,1.26,16.86,3.64,,4.9,8.17,,0.15,8.03,11.85,,2.87,0.21,0.08,,,1.52,,,,,,,,,,,0.05
GL,50.97,1.33,16.27,,,,8.86,,,8.04,11.68,,2.81,0.11,0.14,,,,,,,,,,,,,,
GL,50.53,1.39,16.44,,,,8.27,,,8.09,11.7,,2.85,0.11,0.13,,,,,,,,,,,,,,
WR,48.35,1.25,17.36,3.26,,5.47,,,0.16,6.57,12.49,,2.77,0.25,0.13,,,,0.64,0.74,,,,,,,,,
GL,50.12,1.38,15.94,,,,8.79,,,8.13,11.61,,2.75,0.11,0.12,,,,,,,,,,,,,,
WR,49.8,1.27,16.73,,9.24,4.45,,,0.15,8.1,11.95,,2.57,0.24,0.12,,2.4,,,,,,,,,,143,40,
WR,47.54,1.25,17.33,4.18,,4.55,,,0.15,6.4,12.76,,2.84,0.28,0.13,,,,1.41,0.54,,,,,,,,,
GL,50.54,1.33,16.38,,,,8.81,,,7.9,11.5,,2.79,0.1,0.13,,,,,,,,,,,,,,
GL,50.66,1.36,15.97,,,,8.65,,0.15,8.29,11.45,,2.62,0.11,0.12,,,,,,,,,,,,,,1143
GL,50.32,1.36,15.96,,,,8.71,,0.17,8.31,11.43,,2.63,0.1,0.12,,,,,,,,,,,,,,1111
